check,漢字,音読み,訓読み,総画数,部首,用例,例文
1,亜,ア,,7画,二部,亜鈴,店先に並ぶアレイの音が心地よい。
1,尉,イ,じょう,11画,寸部,大尉,若きタイイは部隊を率いて進んだ。
1,逸,イツ,,11画,辵部,逸材,彼は会社期待のイツザイと評判だ。
1,姻,イン,,9画,女部,婚姻,二人は先日コンイン届を提出した。
1,韻,イン,,19画,音部,余韻,演奏後もヨインが長く胸に残った。
1,畝,,うね・せ,10画,田部,畝織,冬物にウネオリの生地を選んだ。
1,浦,,うら,10画,水部,浦風,浜辺ではウラカゼが静かに吹いた。
1,疫,エキ・ヤク,,9画,疒部,疫病,町ではエキビョウ流行への警戒が続く。
1,謁,エツ,,15画,言部,謁見,王へのエッケンを許され感激した。
1,猿,エン,さる・ましら,13画,犬部,猿人,博物館でエンジンの化石を見学した
1,翁,オウ,おきな,10画,羽部,老翁,庭先でロウオウが昔話を語った。
1,虞,,おそれ,13画,虍部,虞,誤解されるグがある発言だった
1,凹,オウ・ヨウ,くぼ-む・へこ-ます・へこ-む,5画,凵部,凹凸,道のオウトツで車が大きく揺れた。
1,寡,カ,すく-ない・やもめ,14画,宀部,寡占,その業界はカセン状態が続いている。
1,渦,カ,うず,12画,水部,渦中,事件のカチュウにいて気が休まらぬ。
1,禍,カ,まが・わざわ-い,13画,示部,禍根,その失言がカコンとして残っている。
1,稼,カ,う-える・かせ-ぐ・みの-り,15画,禾部,稼業,祖父は長年カギョウを守り続けた。
1,蚊,ブン,か,10画,虫部,蚊,夜中にカが飛び回り眠れなかった。
1,靴,カ,くつ,13画,革部,軍靴,遠くからグンカの響きが聞こえた。
1,懐,カイ,いだ-く・おも-う・なつ-かしい・なつ-かしむ・なつ-く・なつ-ける・ふところ,16画,心部,懐古,休日にはカイコの旅を楽しんだ。
1,拐,カイ,かた-る・かどわか-す,8画,手部,誘拐,犯人は幼児ユウカイの罪に問われた。
1,劾,カイ・ガイ,あば-く・しら-べる,8画,力部,弾劾,議会で大臣へのダンガイが行われた。
1,垣,,かき,9画,土部,垣根,隣家とのカキネを越えて話した。
1,嚇,カク,いか-る・おど-かす・おど-す,17画,口部,威嚇,犬がイカクする声に驚かされた。
1,核,カク,さね,10画,木部,結核,昔はケッカクが恐れられていた。
1,殻,カク,から,11画,殳部,地殻,地震ではチカク変動が観測された。
1,喝,カツ,おど-す・しか-る,11画,口部,一括,資料をイッカツで提出してください。
1,括,カツ,くく-る・くび-る・くび-れる,9画,手部,括弧,文中のカッコを正しく閉じた。
1,褐,カツ,ぬのこ,13画,衣部,褐色,夕焼け空がカッショクに染まった。
1,轄,カツ,くさび・とりし-まる,17画,車部,管轄,この地域は市のカンカツに属する。
1,且,,か-つ・しばら-く・まさ-に,5画,一部,且つ又,彼は親切で、カツマタ勤勉だった
1,渇,カツ・ケツ,かわ-く・むさぼ-る,11画,水部,渇望,成功へのカツボウを胸に抱いた。
1,寛,カン,くつろ-ぐ・ひろ-い・ゆる-やか,13画,宀部,寛容,上司のカンヨウな態度に救われた。
1,憾,カン,うら-む,16画,心部,遺憾,対応が遅れたことはイカンである。
1,棺,カン,ひつぎ,12画,木部,棺桶,古いカンオケが展示されていた。
1,款,カン,しる-す・たた-く・まこと・よろこ-ぶ,12画,欠部,約款,契約前にヤッカンを確認しておく。
1,艦,カン,いくさぶね,21画,舟部,戦艦,港には巨大なセンカンが停泊した。
1,閑,カン,しず-か・なら-う・ひま,12画,門部,閑古,商店街はカンコ鳥が鳴くほど静かだ。
1,陥,カン,おちい-る・おとしい-れる,10画,阜部,陥落,城がカンラクしたとの報が届いた。
1,患,カン・ゲン,うれ-い・うれ-える・わずら-い・わずら-う,11画,心部,患者,担当医がカンジャに説明を行った。
1,還,カン・ゲン,かえ-す・かえ-る・また,16画,辵部,奪還,仲間のダッカン作戦を立てている。
1,堪,カン・タン,こた-える・こら-える・た-える・たま-る,12画,土部,堪忍,失敗してもカンニンしてほしい。
1,缶,カン・フ,かま・ほとぎ,6画,缶部,缶詰,昼食はカンヅメの果物で済ませた。
1,涯,ガイ,はて・みぎわ,11画,水部,生涯,彼は研究にショウガイを捧げた。
1,頑,ガン,かたくな,13画,頁部,頑固,祖父はとてもガンコな性格だった。
1,飢,キ,う-え・う-える,10画,食部,飢餓,世界では今もキガに苦しむ人がいる。
1,窮,キュウ,きわ-まる・きわ-める,15画,穴部,窮屈,その服は少しキュウクツに感じた。
1,糾,キュウ,あざな-う・ただ-す,9画,糸部,糾弾,記者会見で不正がキュウダンされた。
1,拒,キョ,こば-む・ふせ-ぐ,8画,手部,拒絶,突然の申し出はきっぱりキョゼツした。
1,据,,す-える・す-わる,11画,手部,据える,机の位置をスエルと作業しやすい。
1,享,キョウ,あ-たる・う-ける・すす-める,8画,亠部,享受,文化の恩恵をキョウジュして育った。
1,挟,キョウ,さしはさ-む・はさ-まる・はさ-む,9画,手部,挟撃,敵軍をキョウゲキする作戦を立てた。
1,矯,キョウ,いつわ-る・た-める,17画,矢部,矯正,歯並びをキョウセイする治療を受けた。
1,恭,キョウ・ク,うやうや-しい・つつし-む,10画,心部,恭順,彼は主君にキョウジュンの意を示した。
1,慶,ケイ,よ-い・よろこ-ぶ,15画,心部,慶弔,会社からケイチョウ休暇が認められた。
1,菌,キン,きのこ・たけ,11画,艸部,殺菌,食品をサッキンして安全を保った。
1,襟,キン,えり・むね,18画,衣部,開襟,夏服はカイキンシャツが涼しく快適だ。
1,謹,キン,つつし-む,17画,言部,謹慎,不祥事によりキンシン処分となった。
1,琴,キン,こと,12画,玉部,木琴,音楽室でモッキンの練習をしていた。
1,偽,ギ,いつわ-る・にせ,11画,人部,偽装,犯人はギソウ工作を重ねていた。
1,宜,ギ,むべ・よ-い・よろ-しい・よろ-しく,8画,宀部,適宜,必要に応じてテキギ対応してください。
1,擬,ギ,なぞら-える・はか-る・まがい・もどき,17画,手部,疑似,訓練用のギジ環境で試験を行った。
1,暁,ギョウ,あかつき・さと-る,12画,日部,暁星,早朝にギョウセイが東空へ輝いた。
1,吟,ギン,うた-う・うめ-く,7画,口部,吟醸,祝いの席でギンジョウ酒を味わった。
1,貢,ク・コウ,みつ-ぐ,10画,貝部,年貢,農民は領主へネングを納めていた。
1,堀,クツ・コツ,あな・ほり,11画,土部,掘削,道路工事でクッサク作業が進んだ。
1,勲,クン,いさお・いさおし,15画,力部,勲章,功績によりクンショウを授与された。
1,薫,クン,かおりぐさ・かお-る・た-く,16画,艸部,薫育,子供たちはクンイクを受け成長した。
1,隅,グウ,すみ,12画,阜部,一隅,公園のイチグウを花壇に整備した。
1,懸,ケ・ケン,か-かる・か-ける・へだ-たる,20画,心部,懸賞,祭りのケンショウに応募してみた。
1,渓,ケイ,たに,11画,水部,渓流,休日はケイリュウ釣りを楽しんだ。
1,茎,ケイ,くき・なかご,8画,艸部,歯茎,歯磨き中にハグキから血が出た。
1,蛍,ケイ,ほたる,11画,虫部,蛍光,夜道でケイコウ塗料が光っていた。
1,傑,ケツ,すぐ-れる,13画,人部,傑作,その映画は今年最高のケッサクだ。
1,繭,ケン,まゆ,18画,糸部,繭糸,職人がケンシを丁寧に紡いだ
1,謙,ケン,へりくだ-る,17画,言部,謙虚,彼は常にケンキョな姿勢を貫いた。
1,顕,ケン,あき-らか・あらわ-す・あらわ-れる,18画,頁部,顕著,改善効果がケンチョに表れている。
